""	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose
SRR22014511	P4	SRR22014511	Treated	Sim et al., 2253	Triazole	45	2
SRR22014512	P4	SRR22014512	Treated	Sim et al., 2250	Triazole	45	2
SRR22014513	P4	SRR22014513	Treated	Sim et al., 2235	Triazole	45	2
SRR22014514	P4	SRR22014514	Treated	Sim et al., 2227	Triazole	45	2
SRR22014515	P4	SRR22014515	Treated	Sim et al., 2224	Triazole	45	2
SRR22014516	P4	SRR22014516	Treated	Sim et al., 2209	Triazole	45	2
SRR22014517	P4	SRR22014517	Treated	Sim et al., 2201	Triazole	45	2
SRR22014518	P4	SRR22014518	Treated	Sim et al., 2198	Triazole	45	2
SRR22014519	P4	SRR22014519	Treated	Sim et al., 2183	Triazole	45	2
SRR22014521	P4	SRR22014521	Treated	Sim et al., 2175	Triazole	45	2
SRR22014522	P4	SRR22014522	Treated	Sim et al., 2172	Triazole	45	2
SRR22014523	P4	SRR22014523	Treated	Sim et al., 2157	Triazole	45	2
SRR22014524	P4	SRR22014524	Treated	Sim et al., 2149	Triazole	45	2
SRR22014525	P4	SRR22014525	Treated	Sim et al., 2146	Triazole	45	2
SRR22014526	P4	SRR22014526	Treated	Sim et al., 2131	Triazole	45	2
SRR22014527	P4	SRR22014527	Treated	Sim et al., 2123	Triazole	45	2
SRR22014528	P4	SRR22014528	Treated	Sim et al., 2120	Triazole	45	2
SRR22014529	P4	SRR22014529	Treated	Sim et al., 2105	Triazole	45	2
SRR22014530	P4	SRR22014530	Control	Sim et al., 2093	Triazole	45	2
SRR22014532	P4	SRR22014532	Control	Sim et al., 2090	Triazole	45	2
SRR22014533	P4	SRR22014533	Control	Sim et al., 2075	Triazole	45	2
SRR22014534	P4	SRR22014534	Control	Sim et al., 2069	Triazole	45	2
SRR22014728	P4	SRR22014728	Control	Sim et al., 2066	Triazole	45	2
SRR22014729	P4	SRR22014729	Control	Sim et al., 2051	Triazole	45	2
SRR22014730	P4	SRR22014730	Control	Sim et al., 2045	Triazole	45	2
SRR22014731	P4	SRR22014731	Control	Sim et al., 2042	Triazole	45	2
SRR22014732	P4	SRR22014732	Control	Sim et al., 2027	Triazole	45	2
SRR22014913	P4	SRR22014913	Treated	Sim et al., 2237	Triazole	45	2
SRR22014914	P4	SRR22014914	Treated	Sim et al., 2232	Triazole	45	2
SRR22014915	P4	SRR22014915	Treated	Sim et al., 2244	Triazole	45	2
SRR22014916	P4	SRR22014916	Treated	Sim et al., 2211	Triazole	45	2
SRR22014917	P4	SRR22014917	Treated	Sim et al., 2206	Triazole	45	2
SRR22014918	P4	SRR22014918	Treated	Sim et al., 2218	Triazole	45	2
SRR22014919	P4	SRR22014919	Treated	Sim et al., 2185	Triazole	45	2
SRR22014921	P4	SRR22014921	Treated	Sim et al., 2180	Triazole	45	2
SRR22014922	P4	SRR22014922	Treated	Sim et al., 2192	Triazole	45	2
SRR22014923	P4	SRR22014923	Treated	Sim et al., 2159	Triazole	45	2
SRR22014924	P4	SRR22014924	Treated	Sim et al., 2154	Triazole	45	2
SRR22014925	P4	SRR22014925	Treated	Sim et al., 2167	Triazole	45	2
SRR22014926	P4	SRR22014926	Treated	Sim et al., 2130	Triazole	45	2
SRR22014928	P4	SRR22014928	Treated	Sim et al., 2141	Triazole	45	2
SRR22014929	P4	SRR22014929	Treated	Sim et al., 2104	Triazole	45	2
SRR22014930	P4	SRR22014930	Treated	Sim et al., 2113	Triazole	45	2
SRR22014932	P4	SRR22014932	Treated	Sim et al., 2115	Triazole	45	2
SRR22014933	P4	SRR22014933	Control	Sim et al., 2074	Triazole	45	2
SRR22014934	P4	SRR22014934	Control	Sim et al., 2083	Triazole	45	2
SRR22014935	P4	SRR22014935	Control	Sim et al., 2085	Triazole	45	2
SRR22014936	P4	SRR22014936	Control	Sim et al., 2050	Triazole	45	2
