SampleID	Shannon	Project	Run_accession	Treatment	Author	Fungicide_type	Duration	Dose	Type
SRR22014521	4.50853724377088	project4	SRR22014521	Treated	Sim et al., 2175	Triazole	45	2	16S
SRR22014522	4.5566069204336	project4	SRR22014522	Treated	Sim et al., 2172	Triazole	45	2	16S
SRR22014523	4.0987562777257	project4	SRR22014523	Treated	Sim et al., 2157	Triazole	45	2	16S
SRR22014524	3.89217445210151	project4	SRR22014524	Treated	Sim et al., 2149	Triazole	45	2	16S
SRR22014525	4.29047490188313	project4	SRR22014525	Treated	Sim et al., 2146	Triazole	45	2	16S
SRR22014526	4.81389730655402	project4	SRR22014526	Treated	Sim et al., 2131	Triazole	45	2	16S
SRR22014527	4.59501406369894	project4	SRR22014527	Treated	Sim et al., 2123	Triazole	45	2	16S
SRR22014528	4.70256388546659	project4	SRR22014528	Treated	Sim et al., 2120	Triazole	45	2	16S
SRR22014529	5.35632703998292	project4	SRR22014529	Treated	Sim et al., 2105	Triazole	45	2	16S
SRR22014530	4.56795389354821	project4	SRR22014530	Control	Sim et al., 2093	Triazole	45	2	16S
SRR22014532	4.80273229343496	project4	SRR22014532	Control	Sim et al., 2090	Triazole	45	2	16S
SRR22014533	5.08031676014292	project4	SRR22014533	Control	Sim et al., 2075	Triazole	45	2	16S
SRR22014534	4.66601504146047	project4	SRR22014534	Control	Sim et al., 2069	Triazole	45	2	16S
SRR22014728	4.17723154665107	project4	SRR22014728	Control	Sim et al., 2066	Triazole	45	2	16S
SRR22014729	4.19870780624134	project4	SRR22014729	Control	Sim et al., 2051	Triazole	45	2	16S
SRR22014730	4.82787911661065	project4	SRR22014730	Control	Sim et al., 2045	Triazole	45	2	16S
SRR22014731	4.62120402140289	project4	SRR22014731	Control	Sim et al., 2042	Triazole	45	2	16S
SRR22014732	5.25311233955049	project4	SRR22014732	Control	Sim et al., 2027	Triazole	45	2	16S
SRR22014913	5.54979204007644	project4	SRR22014913	Treated	Sim et al., 2237	Triazole	45	2	16S
SRR22014914	4.65834215062746	project4	SRR22014914	Treated	Sim et al., 2232	Triazole	45	2	16S
SRR22014915	3.02821201105285	project4	SRR22014915	Treated	Sim et al., 2244	Triazole	45	2	16S
SRR22014916	3.36140625673845	project4	SRR22014916	Treated	Sim et al., 2211	Triazole	45	2	16S
